direccion|precio_uf|metros_cuadrados|dormitorios|banios|estaciones_de_metro_tmin|estaciones_de_metro_tmax|estaciones_de_metro_tavg|estaciones_de_metro_dmin|estaciones_de_metro_dmax|estaciones_de_metro_davg|paraderos_tmin|paraderos_tmax|paraderos_tavg|paraderos_dmin|paraderos_dmax|paraderos_davg|jardines_infantiles_tmin|jardines_infantiles_tmax|jardines_infantiles_tavg|jardines_infantiles_dmin|jardines_infantiles_dmax|jardines_infantiles_davg|colegios_tmin|colegios_tmax|colegios_tavg|colegios_dmin|colegios_dmax|colegios_davg|universidades_tmin|universidades_tmax|universidades_tavg|universidades_dmin|universidades_dmax|universidades_davg|plazas_tmin|plazas_tmax|plazas_tavg|plazas_dmin|plazas_dmax|plazas_davg|supermercados_tmin|supermercados_tmax|supermercados_tavg|supermercados_dmin|supermercados_dmax|supermercados_davg|farmacias_tmin|farmacias_tmax|farmacias_tavg|farmacias_dmin|farmacias_dmax|farmacias_davg|centros_comerciales_tmin|centros_comerciales_tmax|centros_comerciales_tavg|centros_comerciales_dmin|centros_comerciales_dmax|centros_comerciales_davg|clinicas_tmin|clinicas_tmax|clinicas_tavg|clinicas_dmin|clinicas_dmax|clinicas_davg|hospitales_tmin|hospitales_tmax|hospitales_tavg|hospitales_dmin|hospitales_dmax|hospitales_davg
Avenida Almirante Blanco Encalada 1797, Santiago, Chile, Ejército - Toesca, Santiago, RM (Metropolitana)|4946|92|3|2|7.0|10.0|8.5|568.0|772.0|670.0|0.0|3.0|2.0|4.0|257.0|170.8|6.0|9.0|7.6|463.0|681.0|587.6|5.0|10.0|8.8|427.0|769.0|681.0|5.0|6.0|5.6|370.0|504.0|434.0|4.0|7.0|5.2|293.0|533.0|408.4|6.0|12.0|9.0|496.0|970.0|715.7|6.0|10.0|8.4|496.0|785.0|659.0|||||||9.0|10.0|9.7|715.0|778.0|755.0||||||
Santo Domingo 1364, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1881|33|1|1|6.0|9.0|7.7|459.0|729.0|592.3|2.0|3.0|2.5|161.0|241.0|201.0|4.0|10.0|8.2|315.0|766.0|642.4|5.0|9.0|7.4|418.0|697.0|581.8|8.0|12.0|10.0|589.0|913.0|777.2|4.0|5.0|4.7|299.0|388.0|350.7|5.0|10.0|7.0|406.0|744.0|528.4|3.0|4.0|3.8|241.0|331.0|304.0|6.0|11.0|8.6|469.0|828.0|667.8|4.0|12.0|8.6|309.0|925.0|678.8||||||
|1880|0|0|0|10.0|12.0|11.0|805.0|925.0|859.3|3.0|4.0|3.8|195.0|340.0|282.2|3.0|11.0|7.8|244.0|888.0|619.6|4.0|6.0|5.4|321.0|456.0|414.4|9.0|12.0|11.0|685.0|965.0|864.7|5.0|12.0|10.0|385.0|914.0|762.4|3.0|12.0|8.2|271.0|956.0|662.0|4.0|8.0|6.2|347.0|595.0|488.4|||||||5.0|8.0|6.5|353.0|605.0|479.0||||||
Departamento En Venta De 2 Dorm. En Santiago, Parque O'Higgins, Santiago, RM (Metropolitana)|2200|40|2|1|||||||2.0|4.0|3.5|190.0|349.0|293.5|3.0|9.0|5.4|249.0|688.0|421.4|2.0|7.0|4.2|188.0|511.0|335.4|||||||7.0|7.0|7.0|557.0|557.0|557.0|5.0|13.0|9.2|381.0|982.0|721.0|7.0|10.0|9.2|514.0|803.0|716.4|||||||12.0|12.0|12.0|962.0|962.0|962.0|12.0|12.0|12.0|958.0|958.0|958.0
Cóndor 1170, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)|1747|40|1|1|3.0|12.0|9.8|208.0|964.0|746.5|2.0|4.0|3.0|173.0|304.0|251.0|4.0|10.0|8.2|333.0|805.0|644.0|6.0|9.0|7.8|451.0|735.0|618.2|4.0|9.0|6.0|284.0|739.0|475.8|3.0|9.0|6.6|197.0|672.0|491.4|2.0|6.0|4.8|124.0|484.0|364.6|2.0|5.0|3.8|134.0|429.0|304.8|7.0|8.0|7.5|532.0|612.0|572.0|3.0|9.0|6.5|214.0|722.0|516.5||||||
Rosas, Barrio Yungay, Santiago, RM (Metropolitana)|2500|48|2|2|9.0|9.0|9.0|676.0|676.0|676.0|2.0|4.0|3.5|159.0|332.0|278.5|6.0|12.0|8.8|499.0|904.0|679.0|4.0|5.0|4.6|305.0|424.0|379.0|||||||3.0|9.0|6.0|269.0|725.0|497.0|4.0|12.0|7.6|330.0|899.0|589.4|5.0|9.0|7.0|355.0|670.0|532.8|||||||3.0|3.0|3.0|235.0|235.0|235.0||||||
Barrio Yungay, Barrio Yungay, Santiago, RM (Metropolitana)|3575|81|3|2|6.0|11.0|8.5|472.0|853.0|662.5|4.0|5.0|4.4|296.0|395.0|343.4|4.0|7.0|5.4|336.0|555.0|431.8|2.0|4.0|2.8|182.0|281.0|226.4|11.0|12.0|11.2|833.0|959.0|890.8|6.0|13.0|10.4|505.0|992.0|820.8|4.0|12.0|9.8|313.0|944.0|767.8|4.0|7.0|5.4|297.0|537.0|423.4|||||||8.0|8.0|8.0|590.0|590.0|590.0|12.0|12.0|12.0|934.0|934.0|934.0
San Francisco 294, Bulnes, Santiago, RM (Metropolitana)|2250|25|1|1|8.0|11.0|10.0|643.0|897.0|809.7|3.0|4.0|3.2|213.0|311.0|257.5|4.0|7.0|5.8|287.0|577.0|458.2|5.0|8.0|7.2|387.0|658.0|559.0|6.0|11.0|9.2|446.0|874.0|721.6|4.0|7.0|6.0|334.0|545.0|471.4|6.0|7.0|6.6|446.0|575.0|514.8|4.0|5.0|4.8|348.0|428.0|380.8|9.0|12.0|10.7|673.0|901.0|818.3|7.0|13.0|10.8|581.0|986.0|850.4|6.0|12.0|9.0|443.0|938.0|690.5
Enrique Mac Iver, 300 - 600, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1747|35|1|1|7.0|11.0|8.5|515.0|897.0|649.8|2.0|3.0|2.2|117.0|214.0|171.5|6.0|11.0|8.8|503.0|851.0|691.6|6.0|11.0|8.8|431.0|856.0|665.8|3.0|7.0|5.2|254.0|563.0|425.2|7.0|10.0|8.8|549.0|805.0|701.8|3.0|4.0|3.4|224.0|343.0|285.6|2.0|3.0|2.4|168.0|244.0|200.2|3.0|6.0|4.8|231.0|504.0|387.0|3.0|10.0|7.8|266.0|772.0|622.2||||||
Avenida Vicuña Mackenna 933, Santiago, Ñuñoa, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)|1950|31|1|1|5.0|11.0|8.0|424.0|875.0|649.5|2.0|3.0|2.8|168.0|249.0|226.0|10.0|12.0|11.0|804.0|963.0|883.5|2.0|6.0|3.8|176.0|505.0|316.5|||||||5.0|9.0|6.2|358.0|696.0|472.8|7.0|10.0|8.2|510.0|798.0|628.2|3.0|4.0|3.6|230.0|304.0|269.6|||||||8.0|8.0|8.0|650.0|650.0|650.0||||||
