direccion|precio_uf|metros_cuadrados|dormitorios|banios|estaciones_de_metro_tmin|estaciones_de_metro_tmax|estaciones_de_metro_tavg|estaciones_de_metro_dmin|estaciones_de_metro_dmax|estaciones_de_metro_davg|paraderos_tmin|paraderos_tmax|paraderos_tavg|paraderos_dmin|paraderos_dmax|paraderos_davg|jardines_infantiles_tmin|jardines_infantiles_tmax|jardines_infantiles_tavg|jardines_infantiles_dmin|jardines_infantiles_dmax|jardines_infantiles_davg|colegios_tmin|colegios_tmax|colegios_tavg|colegios_dmin|colegios_dmax|colegios_davg|universidades_tmin|universidades_tmax|universidades_tavg|universidades_dmin|universidades_dmax|universidades_davg|plazas_tmin|plazas_tmax|plazas_tavg|plazas_dmin|plazas_dmax|plazas_davg|supermercados_tmin|supermercados_tmax|supermercados_tavg|supermercados_dmin|supermercados_dmax|supermercados_davg|farmacias_tmin|farmacias_tmax|farmacias_tavg|farmacias_dmin|farmacias_dmax|farmacias_davg|centros_comerciales_tmin|centros_comerciales_tmax|centros_comerciales_tavg|centros_comerciales_dmin|centros_comerciales_dmax|centros_comerciales_davg|clinicas_tmin|clinicas_tmax|clinicas_tavg|clinicas_dmin|clinicas_dmax|clinicas_davg|hospitales_tmin|hospitales_tmax|hospitales_tavg|hospitales_dmin|hospitales_dmax|hospitales_davg
San Diego 1473, Parque O'Higgins, Santiago, RM (Metropolitana)|2000|0|2|1|||||||3.0|5.0|3.8|208.0|413.0|298.5|4.0|8.0|6.2|319.0|638.0|477.8|3.0|7.0|5.0|259.0|565.0|388.0|||||||6.0|6.0|6.0|472.0|472.0|472.0|4.0|12.0|8.5|325.0|934.0|664.2|5.0|11.0|9.0|394.0|873.0|710.6|||||||11.0|11.0|11.0|842.0|842.0|842.0|12.0|12.0|12.0|922.0|922.0|922.0
Vicuña Mackenna 1231, Ñuñoa, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|1430|20|1|1|6.0|6.0|6.0|438.0|438.0|438.0|2.0|4.0|3.0|171.0|276.0|245.6|||||||4.0|6.0|5.0|346.0|504.0|401.2|||||||5.0|11.0|8.0|372.0|874.0|614.2|6.0|12.0|8.3|488.0|950.0|670.3|4.0|8.0|6.4|318.0|649.0|494.4|||||||7.0|12.0|10.0|529.0|931.0|759.7||||||
Plaza De Armas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1980|61|1|1|3.0|12.0|8.8|203.0|909.0|677.8|2.0|3.0|2.7|189.0|230.0|214.7|3.0|13.0|8.8|249.0|999.0|699.6|6.0|10.0|9.0|441.0|797.0|698.6|6.0|11.0|7.8|473.0|841.0|615.6|3.0|11.0|8.2|261.0|889.0|660.0|3.0|5.0|4.2|239.0|410.0|335.6|2.0|3.0|2.5|185.0|263.0|224.0|2.0|4.0|3.0|165.0|285.0|216.8|3.0|7.0|5.0|233.0|549.0|403.8||||||
Barrio Brasil, Barrio Brasil, Santiago, RM (Metropolitana)|3700|101|4|2|9.0|12.0|10.0|677.0|964.0|775.0|4.0|6.0|4.6|310.0|474.0|378.2|6.0|8.0|6.8|440.0|597.0|515.4|2.0|5.0|3.0|123.0|422.0|241.5|3.0|6.0|5.2|239.0|492.0|412.4|3.0|7.0|4.8|202.0|569.0|376.0|7.0|12.0|8.6|529.0|916.0|670.0|3.0|7.0|5.0|202.0|581.0|394.6|||||||12.0|13.0|12.3|919.0|998.0|949.0||||||
Tarapacá 1200 - 1500, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)|1900|40|1|1|6.0|12.0|9.0|449.0|905.0|691.8|0.0|3.0|2.0|0.0|230.0|151.7|4.0|10.0|6.8|316.0|788.0|537.2|2.0|6.0|3.8|146.0|435.0|296.2|4.0|6.0|5.6|301.0|506.0|442.0|3.0|6.0|5.0|232.0|488.0|396.4|2.0|7.0|4.2|150.0|557.0|324.0|2.0|5.0|3.8|118.0|424.0|288.8|3.0|5.0|4.0|270.0|373.0|321.5|3.0|10.0|7.0|268.0|762.0|542.4|12.0|12.0|12.0|962.0|962.0|962.0
San Isidro Est Y Bod Impecable, Santa Isabel, Santiago, RM (Metropolitana)|2900|50|2|2|11.0|12.0|11.5|861.0|957.0|909.0|2.0|4.0|3.2|177.0|290.0|244.6|3.0|7.0|5.4|212.0|512.0|396.8|2.0|7.0|5.2|129.0|557.0|396.2|2.0|11.0|6.5|188.0|859.0|524.0|0.0|7.0|3.6|16.0|532.0|289.2|4.0|11.0|8.4|284.0|843.0|651.4|6.0|8.0|7.4|465.0|651.0|581.0|11.0|12.0|11.5|892.0|970.0|931.0|9.0|12.0|10.2|666.0|899.0|772.2|2.0|12.0|7.7|185.0|966.0|610.3
"Lira | Departamento En Venta (2d 2b) | Santiago | One Propiedades, Santa Isabel, Santiago, RM (Metropolitana)"|3800|60|2|2|12.0|12.0|12.0|921.0|921.0|921.0|4.0|5.0|4.2|273.0|417.0|327.0|2.0|12.0|7.8|179.0|967.0|618.6|2.0|9.0|5.4|195.0|684.0|426.6|6.0|11.0|7.8|457.0|869.0|600.5|5.0|8.0|6.0|355.0|640.0|471.5|6.0|10.0|8.0|438.0|780.0|614.0|6.0|9.0|7.4|459.0|737.0|578.4|||||||5.0|12.0|9.3|404.0|959.0|737.0|9.0|13.0|11.0|680.0|976.0|839.3
Venta De Departamento Ubicado En Chacabuco, Parque Los Reyes, Santiago, RM (Metropolitana)|2800|52|3|2|||||||2.0|4.0|3.0|180.0|339.0|255.2|7.0|10.0|8.7|521.0|772.0|675.0|6.0|10.0|8.0|482.0|772.0|631.4|||||||8.0|12.0|10.0|655.0|924.0|789.5|2.0|9.0|5.7|160.0|669.0|441.3|6.0|10.0|8.0|468.0|809.0|645.3||||||||||||||||||
San Pablo Esquina Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1650|28|1|1|6.0|10.0|8.7|447.0|808.0|674.0|2.0|4.0|3.3|180.0|292.0|251.3|3.0|13.0|9.0|248.0|982.0|689.0|6.0|10.0|8.4|451.0|744.0|637.4|8.0|12.0|10.8|632.0|952.0|846.8|4.0|8.0|5.5|325.0|606.0|439.8|4.0|9.0|7.6|308.0|723.0|590.6|5.0|7.0|5.8|365.0|535.0|449.8|8.0|12.0|9.8|618.0|945.0|766.0|7.0|12.0|9.7|547.0|953.0|760.7||||||
Avenida Portugal 551, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|2000|36|1|1|7.0|7.0|7.0|534.0|534.0|534.0|0.0|3.0|1.8|28.0|260.0|157.0|4.0|11.0|7.8|311.0|852.0|626.0|3.0|6.0|4.4|254.0|493.0|359.2|4.0|10.0|8.4|316.0|818.0|679.8|5.0|8.0|6.8|409.0|662.0|548.4|2.0|8.0|5.0|130.0|656.0|405.0|2.0|6.0|3.5|132.0|476.0|273.0|||||||5.0|12.0|9.8|364.0|969.0|758.0|9.0|12.0|10.7|679.0|937.0|818.7
Eyzaguirre 766, San Diego, Santiago, RM (Metropolitana)|1700|20|1|1|7.0|12.0|9.5|556.0|906.0|731.0|3.0|3.0|3.0|208.0|247.0|233.0|3.0|11.0|7.0|266.0|838.0|555.0|2.0|11.0|8.2|192.0|865.0|661.2|9.0|13.0|11.2|735.0|988.0|882.0|0.0|8.0|4.2|38.0|660.0|336.2|9.0|12.0|10.8|678.0|950.0|837.2|2.0|8.0|5.4|171.0|617.0|404.0|||||||6.0|12.0|10.0|490.0|962.0|798.3|11.0|11.0|11.0|840.0|840.0|840.0
Carmen (piso 16), Barrio Diez de Julio, Santiago, RM (Metropolitana)|2980|57|3|2|||||||2.0|4.0|3.2|143.0|344.0|243.8|5.0|12.0|8.4|396.0|904.0|653.6|5.0|7.0|6.0|385.0|508.0|470.6|6.0|11.0|8.8|506.0|831.0|687.8|5.0|7.0|5.8|380.0|571.0|458.2|9.0|12.0|9.8|688.0|929.0|770.8|9.0|11.0|10.0|687.0|892.0|780.2|||||||10.0|13.0|11.5|778.0|994.0|886.0|10.0|10.0|10.0|772.0|772.0|772.0
San Isidro, Barrio Diez de Julio, Santiago, RM (Metropolitana)|1950|30|1|1|11.0|12.0|11.5|837.0|914.0|875.5|3.0|4.0|3.6|243.0|347.0|284.2|3.0|11.0|7.6|239.0|826.0|572.8|3.0|8.0|5.8|228.0|594.0|453.0|8.0|12.0|10.0|628.0|955.0|801.8|3.0|8.0|4.8|223.0|595.0|363.2|9.0|12.0|10.8|734.0|953.0|862.2|7.0|12.0|9.6|529.0|975.0|762.0|||||||11.0|12.0|11.5|848.0|902.0|875.0|8.0|13.0|10.5|636.0|992.0|814.0
(fnb) Santa Elena Esquina Esquina Vicuña Mackenna, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|2750|39|1|1|10.0|10.0|10.0|756.0|756.0|756.0|3.0|3.0|3.0|246.0|267.0|256.5|||||||9.0|9.0|9.0|665.0|711.0|684.8|||||||5.0|9.0|7.7|385.0|701.0|592.0|10.0|11.0|10.3|802.0|891.0|833.0|8.0|12.0|10.4|637.0|967.0|812.8|||||||9.0|13.0|11.0|707.0|997.0|852.0||||||
San Diego 255, Bulnes, Santiago, RM (Metropolitana)|2100|31|1|1|4.0|10.0|7.3|349.0|765.0|587.3|0.0|4.0|2.5|13.0|315.0|207.0|6.0|9.0|7.2|475.0|709.0|559.2|4.0|9.0|7.0|322.0|723.0|546.4|5.0|9.0|7.2|422.0|694.0|572.6|5.0|7.0|6.0|422.0|579.0|493.6|2.0|4.0|2.7|138.0|346.0|225.7|0.0|4.0|2.2|16.0|307.0|177.0|3.0|12.0|6.7|215.0|910.0|517.7|4.0|10.0|7.6|287.0|816.0|599.2|10.0|10.0|10.0|804.0|804.0|804.0
Gorbea, Barrio República, Santiago, RM (Metropolitana)|2300|44|2|1|9.0|9.0|9.0|734.0|734.0|734.0|3.0|5.0|4.0|227.0|370.0|296.5|6.0|11.0|9.6|462.0|895.0|765.4|4.0|6.0|5.0|290.0|462.0|387.2|5.0|7.0|5.8|351.0|577.0|435.8|9.0|9.0|9.0|669.0|718.0|697.8|6.0|10.0|8.3|432.0|796.0|646.7|10.0|12.0|10.6|745.0|901.0|825.8|6.0|12.0|8.8|448.0|934.0|685.4|7.0|7.0|7.0|534.0|534.0|534.0||||||
Bandera 600 - 900, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1690|31|1|1|8.0|11.0|9.5|633.0|896.0|764.5|||||||8.0|11.0|10.2|641.0|893.0|814.0|10.0|12.0|11.2|785.0|969.0|871.4|7.0|9.0|8.0|566.0|675.0|633.7|6.0|8.0|7.4|481.0|627.0|584.0|2.0|6.0|4.2|186.0|471.0|342.6|2.0|5.0|3.8|175.0|412.0|302.6|6.0|10.0|8.6|443.0|790.0|664.8|5.0|11.0|8.6|419.0|865.0|674.4||||||
Chiloe, Parque O'Higgins, Santiago, RM (Metropolitana)|2688|55|2|1|||||||0.0|4.0|2.8|23.0|314.0|228.0|4.0|8.0|5.8|323.0|612.0|449.6|4.0|7.0|4.8|283.0|566.0|364.0|||||||3.0|9.0|6.0|257.0|727.0|492.0|5.0|12.0|8.7|373.0|950.0|676.3|10.0|12.0|11.4|780.0|929.0|885.2|||||||9.0|9.0|9.0|666.0|666.0|666.0|8.0|8.0|8.0|632.0|632.0|632.0
Lira / Curicó - Ideal Para Inversión, Santa Isabel, Santiago, RM (Metropolitana)|2600|35|1|1|10.0|13.0|11.3|783.0|979.0|881.7|0.0|5.0|3.5|26.0|389.0|263.2|3.0|8.0|6.8|220.0|631.0|513.0|3.0|9.0|5.4|211.0|669.0|415.4|3.0|8.0|5.2|232.0|621.0|414.6|2.0|7.0|4.8|164.0|532.0|383.2|4.0|10.0|6.8|339.0|761.0|543.0|4.0|6.0|5.0|302.0|503.0|400.2|12.0|12.0|12.0|957.0|957.0|957.0|5.0|12.0|7.5|375.0|946.0|585.2|3.0|10.0|6.2|207.0|764.0|477.0
Santo Domingo Con Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2338|54|2|1|6.0|8.0|7.3|451.0|598.0|548.0|0.0|3.0|1.7|23.0|199.0|138.7|6.0|11.0|9.2|448.0|877.0|712.6|5.0|10.0|8.6|416.0|814.0|684.8|8.0|13.0|9.6|597.0|978.0|747.8|5.0|6.0|5.7|390.0|475.0|434.0|3.0|8.0|5.6|268.0|650.0|450.8|2.0|4.0|3.0|178.0|348.0|242.4|4.0|9.0|6.6|330.0|689.0|529.2|2.0|10.0|6.8|170.0|787.0|541.4||||||
Avenida Presidente Balmaceda 2914, Santiago, Chile, Parque Los Reyes, Santiago, RM (Metropolitana)|1850|34|1|1|||||||2.0|6.0|3.8|167.0|432.0|294.6|5.0|13.0|9.5|422.0|986.0|732.8|3.0|8.0|6.0|244.0|653.0|492.3|||||||2.0|7.0|5.0|184.0|582.0|407.0|9.0|13.0|11.0|740.0|998.0|869.0|12.0|12.0|12.0|960.0|960.0|960.0||||||||||||||||||
Curico / Carmen, Santa Isabel, Santiago, RM (Metropolitana)|2500|41|2|1|9.0|13.0|11.3|720.0|979.0|878.0|2.0|5.0|3.2|171.0|419.0|257.0|3.0|7.0|4.6|201.0|560.0|349.6|2.0|7.0|3.8|164.0|585.0|301.2|3.0|11.0|7.2|253.0|819.0|553.6|2.0|8.0|5.8|162.0|616.0|447.6|2.0|10.0|7.2|169.0|810.0|572.6|4.0|7.0|5.6|290.0|543.0|433.0|10.0|11.0|10.5|751.0|868.0|809.5|4.0|12.0|8.5|346.0|965.0|674.0|2.0|8.0|5.3|162.0|655.0|436.3
Venta Depto 2d .. Lord Cochrane , Stgo, Bulnes, Santiago, RM (Metropolitana)|2270|45|2|1|7.0|12.0|9.8|580.0|958.0|781.4|2.0|3.0|2.6|121.0|259.0|203.4|2.0|10.0|5.8|176.0|796.0|447.2|3.0|6.0|3.8|206.0|441.0|295.8|3.0|5.0|3.8|197.0|353.0|287.8|6.0|7.0|6.4|471.0|562.0|511.6|5.0|8.0|6.6|401.0|605.0|529.8|3.0|7.0|5.0|262.0|545.0|386.6|7.0|8.0|7.5|509.0|624.0|566.5|4.0|9.0|7.0|335.0|729.0|561.6||||||
San Diego 1344, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)|2290|41|2|1|12.0|12.0|12.0|965.0|965.0|965.0|0.0|5.0|3.6|2.0|397.0|291.4|5.0|10.0|7.6|373.0|751.0|592.0|4.0|7.0|5.6|300.0|580.0|435.6|||||||5.0|12.0|8.5|400.0|930.0|665.0|3.0|8.0|5.7|232.0|596.0|425.7|2.0|12.0|7.8|129.0|915.0|596.6|||||||10.0|10.0|10.0|768.0|768.0|768.0|11.0|11.0|11.0|849.0|849.0|849.0
Rosas 1200 - 1500, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3600|57|2|2|8.0|9.0|8.3|593.0|704.0|632.3|2.0|3.0|2.2|143.0|220.0|185.2|2.0|12.0|9.2|195.0|932.0|731.6|7.0|9.0|7.6|532.0|720.0|601.8|9.0|12.0|10.2|722.0|924.0|803.4|2.0|7.0|4.0|185.0|521.0|313.6|5.0|9.0|7.2|411.0|674.0|561.4|2.0|6.0|5.0|186.0|495.0|391.0|7.0|12.0|9.4|525.0|912.0|723.8|5.0|13.0|9.5|423.0|999.0|732.0||||||
Lira 570, Santa Isabel, Santiago, RM (Metropolitana)|2401|0|1|1|12.0|12.0|12.0|921.0|921.0|921.0|3.0|5.0|4.0|273.0|416.0|327.0|2.0|12.0|7.8|179.0|967.0|618.8|2.0|9.0|5.4|195.0|737.0|436.8|6.0|11.0|7.8|458.0|870.0|601.2|5.0|8.0|6.0|355.0|640.0|471.5|6.0|10.0|8.0|438.0|781.0|614.2|6.0|9.0|7.4|459.0|738.0|579.0|||||||5.0|12.0|9.3|405.0|959.0|737.3|9.0|13.0|11.0|681.0|977.0|840.3
Merced 567, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2800|32|1|1|3.0|10.0|7.2|243.0|784.0|567.0|0.0|3.0|1.7|16.0|248.0|135.0|7.0|12.0|10.5|583.0|904.0|814.0|4.0|12.0|9.0|333.0|971.0|717.0|3.0|10.0|6.8|221.0|767.0|534.0|7.0|9.0|7.4|525.0|739.0|576.8|4.0|9.0|5.5|346.0|729.0|452.5|0.0|5.0|2.3|35.0|422.0|203.7|6.0|9.0|7.2|498.0|664.0|571.8|4.0|11.0|8.2|347.0|891.0|662.0|12.0|12.0|12.0|930.0|930.0|930.0
Pedro Lagos, 1118, Parque O'Higgins, Santiago, RM (Metropolitana)|2300|87|3|1|||||||3.0|4.0|3.5|236.0|345.0|291.2|3.0|9.0|5.4|203.0|682.0|401.8|2.0|7.0|4.4|142.0|557.0|344.6|||||||7.0|7.0|7.0|553.0|553.0|553.0|5.0|13.0|9.0|427.0|978.0|719.0|7.0|10.0|9.0|510.0|757.0|687.2|||||||12.0|12.0|12.0|958.0|958.0|958.0|12.0|12.0|12.0|912.0|912.0|912.0
Lord Cochrane, Parque O'Higgins, Santiago, RM (Metropolitana)|1575|28|1|1|11.0|12.0|11.5|868.0|950.0|909.0|4.0|5.0|4.5|298.0|401.0|354.8|3.0|11.0|7.6|220.0|887.0|587.0|2.0|8.0|5.2|192.0|650.0|426.4|||||||10.0|12.0|10.7|774.0|957.0|835.7|5.0|11.0|8.0|384.0|840.0|612.0|9.0|12.0|10.8|691.0|944.0|832.2||||||||||||||||||
Huérfanos / San Martín, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3000|52|2|2|7.0|11.0|9.0|516.0|845.0|695.8|2.0|4.0|3.0|168.0|297.0|248.0|4.0|10.0|7.6|339.0|775.0|603.2|2.0|9.0|5.4|184.0|739.0|430.8|8.0|12.0|10.2|607.0|936.0|799.4|4.0|6.0|5.2|293.0|488.0|419.2|5.0|8.0|6.5|402.0|641.0|517.2|3.0|3.0|3.0|252.0|256.0|253.7|5.0|9.0|7.6|393.0|737.0|604.8|5.0|10.0|8.0|418.0|803.0|631.2||||||
Huérfanos - Gral. Bulnes, Barrio Yungay, Santiago, RM (Metropolitana)|3718|45|1|1|6.0|11.0|8.5|480.0|846.0|663.0|4.0|5.0|4.4|288.0|403.0|348.2|4.0|7.0|5.4|344.0|547.0|430.2|2.0|4.0|3.0|174.0|273.0|228.0|11.0|12.0|11.2|825.0|951.0|882.8|7.0|13.0|10.6|513.0|984.0|822.4|4.0|12.0|10.0|321.0|952.0|772.6|4.0|7.0|5.4|289.0|545.0|425.0|||||||8.0|8.0|8.0|598.0|598.0|598.0|12.0|12.0|12.0|942.0|942.0|942.0
Matucana 1161, Santiago, RM (Metropolitana)|3400|62|3|2|11.0|11.0|11.0|846.0|846.0|846.0|0.0|2.0|1.3|38.0|191.0|123.3|7.0|12.0|8.7|532.0|929.0|676.3|5.0|9.0|6.8|369.0|708.0|538.8|||||||9.0|12.0|10.3|697.0|966.0|827.3|2.0|8.0|4.7|141.0|658.0|358.3|5.0|10.0|7.7|357.0|798.0|601.0||||||||||||||||||
Ramón Corvalán / Barón Pierre De Coubertin, Barrio San Borja, Santiago, RM (Metropolitana)|3170|68|3|1|8.0|9.0|8.3|586.0|723.0|632.0|3.0|5.0|4.0|238.0|420.0|338.8|4.0|9.0|8.0|337.0|729.0|631.4|6.0|11.0|8.8|479.0|893.0|699.4|4.0|7.0|5.4|288.0|575.0|429.2|4.0|6.0|5.4|328.0|503.0|445.4|3.0|12.0|7.6|237.0|970.0|603.4|5.0|6.0|5.2|365.0|480.0|407.0|5.0|5.0|5.0|400.0|400.0|400.0|9.0|12.0|10.3|706.0|908.0|798.3|7.0|13.0|9.0|524.0|989.0|682.7
Manuel Antonio Tocornal 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|1881|30|1|1|||||||3.0|6.0|4.4|215.0|498.0|348.0|5.0|10.0|7.4|382.0|791.0|565.0|6.0|7.0|6.6|478.0|578.0|528.2|3.0|11.0|5.8|200.0|828.0|441.0|3.0|5.0|4.2|218.0|392.0|330.2|6.0|11.0|8.8|498.0|874.0|701.6|7.0|10.0|8.8|579.0|801.0|694.6|||||||5.0|10.0|8.3|366.0|814.0|662.0|7.0|12.0|9.0|582.0|935.0|718.7
Metro Bellas Artes, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1613|30|1|1|5.0|11.0|8.0|428.0|833.0|620.5|2.0|3.0|2.6|159.0|261.0|196.8|9.0|12.0|10.0|699.0|915.0|776.6|3.0|12.0|8.6|267.0|969.0|669.4|0.0|10.0|7.2|7.0|777.0|564.2|5.0|11.0|8.0|399.0|829.0|626.8|3.0|8.0|5.6|255.0|660.0|441.0|2.0|4.0|3.4|139.0|349.0|256.6|5.0|8.0|6.4|365.0|615.0|499.6|6.0|11.0|8.8|464.0|852.0|688.0|11.0|11.0|11.0|884.0|884.0|884.0
Pedro Lagos, 1118, Parque O'Higgins, Santiago, RM (Metropolitana)|2300|87|3|1|||||||3.0|4.0|3.5|236.0|345.0|291.2|3.0|9.0|5.4|203.0|682.0|401.8|2.0|7.0|4.4|142.0|557.0|344.6|||||||7.0|7.0|7.0|553.0|553.0|553.0|5.0|13.0|9.0|427.0|978.0|719.0|7.0|10.0|9.0|510.0|757.0|687.2|||||||12.0|12.0|12.0|958.0|958.0|958.0|12.0|12.0|12.0|912.0|912.0|912.0
Portugal 810/, 0, Barrio Diez de Julio, Santiago, RM (Metropolitana)|3500|65|2|2|10.0|12.0|11.0|804.0|971.0|887.5|0.0|2.0|1.5|38.0|186.0|138.2|8.0|8.0|8.0|593.0|593.0|593.0|6.0|7.0|6.6|465.0|584.0|535.0|10.0|10.0|10.0|791.0|791.0|791.0|8.0|11.0|9.8|636.0|894.0|774.6|4.0|13.0|7.6|282.0|983.0|602.6|4.0|7.0|5.8|318.0|572.0|449.4|||||||7.0|13.0|10.5|547.0|983.0|814.2||||||
Departamento En Tocornal 588, Santa Isabel, Santiago, RM (Metropolitana)|2100|38|1|1|||||||3.0|5.0|3.8|241.0|373.0|305.0|4.0|12.0|7.8|278.0|915.0|608.2|4.0|9.0|5.8|294.0|689.0|458.4|5.0|13.0|8.0|384.0|983.0|617.2|3.0|7.0|5.4|244.0|576.0|443.8|7.0|12.0|8.8|537.0|923.0|683.6|7.0|11.0|9.0|566.0|880.0|699.8|||||||7.0|13.0|11.0|550.0|998.0|846.0|10.0|11.0|10.5|766.0|822.0|794.0
Depto Mariposa Semi Nuevo Parque Almagro, San Diego, Santiago, RM (Metropolitana)|3890|59|2|2|6.0|13.0|9.5|469.0|989.0|729.0|0.0|4.0|2.4|3.0|317.0|176.6|4.0|10.0|6.6|296.0|798.0|514.6|4.0|11.0|9.0|302.0|825.0|688.0|8.0|12.0|11.0|656.0|957.0|852.8|2.0|8.0|4.6|148.0|626.0|360.4|7.0|11.0|9.4|579.0|860.0|749.8|6.0|7.0|6.3|467.0|529.0|489.0|12.0|12.0|12.0|964.0|964.0|964.0|6.0|12.0|9.7|450.0|921.0|738.3|11.0|11.0|11.0|834.0|834.0|834.0
Avenida Almirante Blanco Encalada, Ejército - Toesca, Santiago, RM (Metropolitana)|1950|29|1|1|10.0|11.0|10.5|753.0|889.0|821.0|2.0|3.0|2.2|135.0|224.0|165.0|2.0|5.0|4.0|153.0|428.0|325.8|4.0|11.0|8.2|297.0|854.0|634.6|3.0|5.0|3.5|198.0|398.0|273.8|2.0|9.0|6.2|152.0|671.0|473.8|7.0|13.0|9.8|527.0|991.0|763.5|5.0|12.0|9.2|356.0|955.0|700.2|||||||11.0|12.0|11.5|875.0|938.0|906.5||||||
General Jofré, Santa Isabel, Santiago, RM (Metropolitana)|2200|35|1|1|6.0|12.0|9.0|432.0|965.0|690.0|3.0|5.0|4.2|247.0|373.0|317.6|5.0|10.0|8.0|419.0|763.0|619.2|6.0|8.0|7.4|489.0|639.0|576.0|5.0|8.0|6.6|420.0|616.0|516.6|4.0|9.0|7.2|300.0|665.0|548.8|4.0|9.0|7.0|311.0|713.0|537.4|3.0|4.0|3.8|206.0|320.0|278.8|||||||5.0|9.0|7.3|398.0|716.0|585.7|3.0|13.0|8.0|217.0|979.0|605.5
Amunátegui 600 - 900, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1799|36|1|1|5.0|10.0|8.0|413.0|780.0|624.0|0.0|3.0|2.0|34.0|251.0|166.0|3.0|9.0|7.6|225.0|719.0|587.2|6.0|8.0|6.8|454.0|629.0|547.0|7.0|11.0|9.8|543.0|890.0|754.2|2.0|4.0|3.0|161.0|342.0|238.4|6.0|10.0|7.4|465.0|748.0|565.2|0.0|5.0|3.2|6.0|406.0|264.2|7.0|12.0|9.6|554.0|917.0|755.6|5.0|13.0|9.6|399.0|987.0|760.8||||||
Santa Isabel, Santiago, RM (Metropolitana)|2350|35|1|1|||||||3.0|5.0|3.8|231.0|375.0|292.0|4.0|12.0|8.0|281.0|937.0|611.0|4.0|8.0|5.6|297.0|644.0|442.0|6.0|12.0|8.0|429.0|938.0|629.2|4.0|7.0|5.8|286.0|571.0|449.4|7.0|12.0|8.8|540.0|968.0|695.4|7.0|10.0|8.8|569.0|801.0|696.4|||||||8.0|8.0|8.0|592.0|592.0|592.0|10.0|11.0|10.5|772.0|868.0|820.0
Coquimbo 777, San Diego, Santiago, RM (Metropolitana)|2277|51|2|1|6.0|13.0|9.5|438.0|988.0|713.0|3.0|4.0|3.6|232.0|300.0|271.8|5.0|11.0|9.0|413.0|872.0|710.2|5.0|6.0|5.8|375.0|495.0|447.4|11.0|11.0|11.0|852.0|852.0|852.0|8.0|12.0|9.8|640.0|932.0|772.8|6.0|12.0|9.7|476.0|921.0|756.3|3.0|9.0|6.2|255.0|727.0|495.2|||||||10.0|10.0|10.0|772.0|812.0|792.0|12.0|12.0|12.0|920.0|920.0|920.0
Fray Camilo Enriquez, Santa Isabel, Santiago, RM (Metropolitana)|1451|19|1|1|5.0|10.0|7.5|427.0|752.0|589.5|2.0|5.0|3.4|156.0|401.0|257.2|5.0|10.0|7.4|370.0|784.0|567.8|3.0|6.0|4.8|268.0|451.0|371.2|4.0|10.0|7.8|275.0|768.0|596.6|6.0|8.0|6.4|440.0|594.0|492.4|5.0|8.0|6.2|355.0|615.0|467.8|3.0|6.0|3.8|203.0|435.0|295.6|||||||4.0|11.0|7.3|326.0|870.0|569.3|7.0|11.0|8.7|574.0|896.0|703.0
Bandera, 898, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2000|39|1|1|||||||9.0|9.0|9.0|673.0|732.0|702.5||||||||||||||||||||||||||||||||||||||||||||||||||||||
|3590|0|0|0|12.0|12.0|12.0|940.0|940.0|940.0|3.0|5.0|4.2|225.0|397.0|339.2|3.0|10.0|7.2|226.0|798.0|563.2|6.0|7.0|6.6|476.0|576.0|521.4|4.0|13.0|7.2|333.0|984.0|562.2|3.0|6.0|4.6|216.0|504.0|362.0|7.0|11.0|9.4|516.0|896.0|739.2|7.0|10.0|8.2|577.0|748.0|641.0|||||||7.0|12.0|10.0|523.0|963.0|772.7|8.0|10.0|9.0|600.0|795.0|697.5
Lord Cochrane, Parque Almagro, Santiago, RM (Metropolitana)|3695|51|2|2|6.0|10.0|8.0|430.0|804.0|629.0|3.0|4.0|3.2|212.0|279.0|253.2|5.0|8.0|6.6|399.0|620.0|509.8|4.0|6.0|5.6|325.0|492.0|436.0|0.0|6.0|4.0|26.0|502.0|328.0|4.0|8.0|6.4|293.0|657.0|504.6|5.0|8.0|6.8|381.0|637.0|532.0|5.0|7.0|5.6|391.0|543.0|449.8|9.0|10.0|9.5|695.0|764.0|729.5|4.0|11.0|7.6|303.0|878.0|612.8||||||
