direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
Agustinas 1612, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3450|74|2|2|-33.4419532|-70.659432|https://www.portalinmobiliario.com/MLC-2380119364-excelente-dpto-para-inversion-cod-2310-_JM#position=39&search_layout=grid&type=item&tracking_id=958c33f1-abd7-48a3-9d06-660520505b9d
Mac Iver/ Huérfanos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2204|57|2|1|-33.4396497|-70.6466476|https://www.portalinmobiliario.com/MLC-1466817279-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=9&search_layout=grid&type=item&tracking_id=06e9d37c-e4c7-42cc-8f32-41c52f1a460f
Rosas 1339, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3090|44|2|1|-33.4355585|-70.6564792|https://www.portalinmobiliario.com/MLC-2281972878-inversionistas-dpto-en-venta-con-arrendatario-stgo-centro-_JM#position=26&search_layout=grid&type=item&tracking_id=4d43185c-3bd9-4eb9-9ecb-e8325d08f967
Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2500|37|1|1|-33.437469|-70.646199|https://www.portalinmobiliario.com/MLC-1446518853-departamento-1d1b-en-el-centro-_JM#position=16&search_layout=grid&type=item&tracking_id=139930be-c85f-41a0-af1f-a7c904327274
Santa Victoria - Santiago, Santa Isabel, Santiago, RM (Metropolitana)|3000|70|2|2|-33.4478629|-70.6381078|https://www.portalinmobiliario.com/MLC-2198561116-santa-victoria-santiago-10321-_JM#position=47&search_layout=grid&type=item&tracking_id=5f3427cd-b8da-4a35-aa22-08f3211398f4
Avenida Libertador Bernardo O'higgins, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1630|36|1|1|-33.442567|-70.6465419|https://www.portalinmobiliario.com/MLC-2117622200-departamento-avenida-libertador-bernardo-ohiggins-id-74895-_JM#position=6&search_layout=grid&type=item&tracking_id=cf516be5-79cc-42a9-9e55-a6a546ba85e4
Fray Camilo Henríquez, Barrio Diez de Julio, Santiago, RM (Metropolitana)|3348|50|2|2|-33.4511456|-70.6332743|https://www.portalinmobiliario.com/MLC-1454782793-departamento-fray-camilo-henriquez-id-30319-_JM#position=33&search_layout=grid&type=item&tracking_id=860b5343-80ff-4fb0-8114-58a9f2a757f3
Agustinas 1500 - 1800, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2350|35|1|1|-33.4418992|-70.6593825|https://www.portalinmobiliario.com/MLC-2339408638-oportunidad-de-invension-apasos-metro-sta-ana-_JM#position=38&search_layout=grid&type=item&tracking_id=8c555f80-a5b5-4edc-a367-4bf34d2a90d0
San Isidro 951, Santiago, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)|2742|60|3|1|-33.4559647|-70.6418968|https://www.portalinmobiliario.com/MLC-2098166510-se-vende-lindo-departamento-a-pasos-del-metro-matta-_JM#position=37&search_layout=grid&type=item&tracking_id=69bec6bd-6a7c-4f18-b658-5ec9b236d1c1
José Miguel De La Barra 508, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3490|67|2|1|-33.4363799|-70.6437145|https://www.portalinmobiliario.com/MLC-2322867204-oferta-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=36&search_layout=grid&type=item&tracking_id=7900a9c9-244b-4ff1-ba24-2c2435fc25cf
García Reyes 30, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)|2000|40|1|1|-33.4468826|-70.6707479|https://www.portalinmobiliario.com/MLC-2170573414-hermoso-vista-despejada-_JM#position=7&search_layout=grid&type=item&tracking_id=5575e832-fec4-4dea-ac39-565149c89577
Presidente Balmaceda- Esperanza, Parque Los Reyes, Santiago, RM (Metropolitana)|1075|20|1|1|-33.4270391|-70.6771933|https://www.portalinmobiliario.com/MLC-2158909352-departamento-home-studio-en-venta-de-1-dorm-en-santiago-_JM#position=6&search_layout=grid&type=item&tracking_id=4c07cd07-fca8-4332-b038-41038ab571cb
Monjitas Con Enrique Mac Iver, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3100|52|2|2|-33.4370537|-70.6478646|https://www.portalinmobiliario.com/MLC-1452045005-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=8&search_layout=grid&type=item&tracking_id=31680df8-d52e-42f4-8a30-8222d1c902d6
Avenida Rondizzoni, 1856, Parque O'Higgins, Santiago, RM (Metropolitana)|2365|68|2|2|-33.4704206|-70.6591765|https://www.portalinmobiliario.com/MLC-2371393394-venta-departamento-2hab-2ba-avenida-rondizzoni-1856-_JM#position=12&search_layout=grid&type=item&tracking_id=92e60104-7d52-460c-8ad7-967871aeb542
Metro Rondizzoni / Ñuble, Franklin - Biobío, Santiago, RM (Metropolitana)|1350|20|1|1|-33.4704984|-70.6483867|https://www.portalinmobiliario.com/MLC-2117725266-departamento-metro-rondizzoni-nuble-id-77167-_JM#position=22&search_layout=grid&type=item&tracking_id=53c24ed8-8154-483a-b32b-25ed7ae1a889
Eyzaguirre, Parque O'Higgins, Santiago, RM (Metropolitana)|1750|29|1|1|-33.4612539|-70.6514485|https://www.portalinmobiliario.com/MLC-1437366191-venta-departamento-santiago-de-1-dormitorio-_JM#position=11&search_layout=grid&type=item&tracking_id=b724bf96-7df1-4fb5-85b5-dc888222771b
Metro Santa Lucia, Santa Isabel, Santiago, RM (Metropolitana)|2600|34|1|1|-33.44269|-70.64572|https://www.portalinmobiliario.com/MLC-1440639475-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=11&search_layout=grid&type=item&tracking_id=82a0818c-1951-4b03-b9db-83a3ee71356a
Argomedo 40, 8330318 Santiago, Región Metropolitana, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3000|45|2|1|-33.4492762|-70.6324584|https://www.portalinmobiliario.com/MLC-1467811861-departamento-2-dormitorios-barrio-italia-metro-santa-isabel-_JM#position=47&search_layout=grid&type=item&tracking_id=bf05e5af-deb4-41cf-b5df-07ca4ec4e24d
Departamento En Arriendo 1 Dormitorio Y 1 Baño. Arturo Prat 655. Metro Parque Almagro. Comuna De Santiago., San Diego, Santiago, RM (Metropolitana)|2900|31|1|1|-33.4532512|-70.6485811|https://www.portalinmobiliario.com/MLC-2124462052-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=24&search_layout=grid&type=item&tracking_id=19c2411a-352c-4da1-8518-8ed69b0a4822
Se Vende Dp 2d+1b Con Opción A Estacionamiento, Santiago, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2690|43|2|1|-33.4359494|-70.6593274|https://www.portalinmobiliario.com/MLC-2374874356-se-vende-dp-2d1b-con-opcion-a-estacionamiento-santiago-_JM#position=34&search_layout=grid&type=item&tracking_id=cac34015-82c8-48da-84ce-baa4479e3461
Manuel Antonio Tocornal 455, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|2100|37|1|1|-33.4488927|-70.6407097|https://www.portalinmobiliario.com/MLC-2174977610-oportunidad-amoblado-inversionista-mt-sta-luciaclinica-uc-_JM#position=15&search_layout=grid&type=item&tracking_id=1ea50ae8-cf68-41d7-8be0-18e64d4a743f
Santa Lucía/ Merced, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|4850|85|3|2|-33.4374718|-70.6444255|https://www.portalinmobiliario.com/MLC-2375273752-lastarria-metro-santa-lucia-3d-2b-_JM#position=41&search_layout=grid&type=item&tracking_id=060baa90-8b2b-435c-8bd4-78d129392cd3
Avenida Almirante Blanco Encalada 1797, Santiago, Chile, Ejército - Toesca, Santiago, RM (Metropolitana)|4945|92|3|2|-33.4564267|-70.6594543|https://www.portalinmobiliario.com/MLC-1453079037-amplio-y-hermoso-departamento-3d-2b-1e-santiago-_JM#position=30&search_layout=grid&type=item&tracking_id=87232290-ac01-41e0-9258-bb82b93ea661
Santo Domingo 1364, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1881|33|1|1|-33.4368237|-70.6564494|https://www.portalinmobiliario.com/MLC-1477017135-hermoso-remodelado-_JM#position=43&search_layout=grid&type=item&tracking_id=94019c35-55f3-434e-8982-8336f48c2228
Zenteno, Parque Almagro, Santiago, RM (Metropolitana)|1880|40|2|1|-33.4576862|-70.6510101|https://www.portalinmobiliario.com/MLC-2240596808-departamento-zenteno-id-100273-_JM#position=7&search_layout=grid&type=item&tracking_id=feed9058-fd81-49fc-b95e-4ff3f7520f6a
Departamento En Venta De 2 Dorm. En Santiago, Parque O'Higgins, Santiago, RM (Metropolitana)|2200|40|2|1|-33.465958|-70.6490745|https://www.portalinmobiliario.com/MLC-1452315223-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=37&search_layout=grid&type=item&tracking_id=3121f85d-535d-45e2-805e-a650afc0f2b2
Cóndor 1170, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)|1747|40|1|1|-33.4508489|-70.6516282|https://www.portalinmobiliario.com/MLC-1433500021-lindo-dpto-en-avsan-diego-metro-parque-almagro-_JM#position=33&search_layout=grid&type=item&tracking_id=ccb1f7be-333a-41ae-a4ed-4846f99c10f7
Rosas, Barrio Yungay, Santiago, RM (Metropolitana)|2500|48|2|2|-33.4366689|-70.6726577|https://www.portalinmobiliario.com/MLC-2117725204-departamento-rosas-id-27786-_JM#position=22&search_layout=grid&type=item&tracking_id=633394a1-3e6d-4422-9190-7d8676bf0a16
Barrio Yungay, Barrio Yungay, Santiago, RM (Metropolitana)|3575|81|3|2|-33.4420718|-70.6701625|https://www.portalinmobiliario.com/MLC-2260191430-departamento-en-venta-de-3d-2b-en-barrio-yungay-santiago-_JM#position=31&search_layout=grid&type=item&tracking_id=28182483-46bd-4b78-b26d-8f3e955d1a32
San Francisco 294, Bulnes, Santiago, RM (Metropolitana)|2250|25|1|1|-33.448277|-70.646782|https://www.portalinmobiliario.com/MLC-1439446189-edificio-san-francisco-vista-poniente-piso-22-_JM#position=1&search_layout=grid&type=item&tracking_id=5991b0a2-9c87-4b6d-a62d-b9638dc74856
Enrique Mac Iver, 300 - 600, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1747|35|1|1|-33.4386219|-70.6473041|https://www.portalinmobiliario.com/MLC-1456952919-amplio-y-antiguo-con-ascensor-m-bellas-artes-_JM#position=10&search_layout=grid&type=item&tracking_id=70171495-6ecf-41cc-9b60-37e09ca4a4d2
Avenida Vicuña Mackenna 933, Santiago, Ñuñoa, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)|1950|31|1|1|-33.4537637|-70.6309705|https://www.portalinmobiliario.com/MLC-2381884128-venta-departamento-1-dormitorio-1-bano-metro-irarrazaval-_JM#position=46&search_layout=grid&type=item&tracking_id=0c74d70a-9da3-4212-af63-f5a99a627245
Avenida España 106, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)|3000|70|3|2|-33.4504657|-70.6696896|https://www.portalinmobiliario.com/MLC-2155383542-oportunidad-unica-venta-de-propiedad-en-av-espana-106-_JM#position=48&search_layout=grid&type=item&tracking_id=00c1dc4f-c55a-480c-aac4-7759a2d54f8a
Parque Almagro, Iglesia Los Sacarmentinos, San Diego, San Diego, Santiago, RM (Metropolitana)|1990|33|1|1|-33.4500115|-70.6493301|https://www.portalinmobiliario.com/MLC-2371376160-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=25&search_layout=grid&type=item&tracking_id=f96ba0b0-3de0-4104-8e3c-5e6c8dd0cf46
Amunategui Y General Mackenna, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2650|63|2|2|-33.4332638|-70.6574523|https://www.portalinmobiliario.com/MLC-2378549516-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=36&search_layout=grid&type=item&tracking_id=958c33f1-abd7-48a3-9d06-660520505b9d
Raulí, Santa Isabel, Santiago, RM (Metropolitana)|2800|47|2|1|-33.4496342|-70.6364344|https://www.portalinmobiliario.com/MLC-2374839118-departamento-rauli-id-125693-_JM#position=29&search_layout=grid&type=item&tracking_id=6e3b6d58-9d4d-4192-9f0c-0de757ab7d35
San Martín / Compañía De Jesús, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2687|54|2|2|-33.4389456|-70.6580143|https://www.portalinmobiliario.com/MLC-2271984352-venta-departamento-santiago-san-martin-2-dormitorios-_JM#position=30&search_layout=grid&type=item&tracking_id=e2e8c48d-6a91-468a-82a9-3a69cd776ba6
Sazie/jose Miguel Carrera, Ejército - Toesca, Santiago, RM (Metropolitana)|1998|39|1|1|-33.450221|-70.6638173|https://www.portalinmobiliario.com/MLC-2276183072-departamento-en-venta-1-dormitorio-en-santiago-sazie-j-carre-_JM#position=17&search_layout=grid&type=item&tracking_id=14e0d470-229c-4585-a472-1cb8dec6b125
Vergara, Ejército - Toesca, Santiago, RM (Metropolitana)|3321|32|1|1|-33.4556214|-70.6614021|https://www.portalinmobiliario.com/MLC-2314240950-departamento-en-venta-en-santiago-_JM#position=35&search_layout=grid&type=item&tracking_id=242369c3-e4f3-4302-8812-fc2d99a49ef1
Parque Almagro, Santiago, RM (Metropolitana)|2300|36|2|1|-33.4573405|-70.6554794|https://www.portalinmobiliario.com/MLC-2065773146-comodo-departamento-2d-1b-en-sector-parque-ohiggings-_JM#position=6&search_layout=grid&type=item&tracking_id=ad89b61c-35d9-4370-9a9f-5c52e7f12fa2
Barrio República, Santiago, RM (Metropolitana)|4484|67|2|2|-33.448889|-70.669265|https://www.portalinmobiliario.com/MLC-2370009094-venta-depto-nuevo-en-barrio-franklin-san-diego-_JM#position=11&search_layout=grid&type=item&tracking_id=dd4f2cbc-ac44-49e7-a344-ceee4576a4c8
